employee_id,department,role_level,training_module_id,module_name,module_type,start_date,completion_date,completion_status,score,feedback_rating,time_spent_minutes,preferred_learning_style,last_login_date
E0091,Corporate Banking,Senior Manager,M20,Module 20,Article,09/02/24,11/02/24,Completed,,2,117,Auditory,09/02/24
E0046,HR,Manager,M14,Module 14,Quiz,20/06/24,24/06/24,Completed,60,1,53,Visual,05/07/24
E0057,Compliance,Senior Manager,M12,Module 12,Video,19/03/24,22/03/24,Completed,,1,89,Reading/Writing,31/03/24
E0085,Risk,Associate,M25,Module 25,Article,12/03/24,,Dropped,,,44,Kinesthetic,12/03/24
E0030,Risk,Senior Associate,M19,Module 19,Webinar,08/03/24,09/03/24,Completed,,5,60,Kinesthetic,18/03/24
E0112,Corporate Banking,VP,M4,Module 4,Quiz,08/04/24,12/04/24,Completed,52,4,5,Reading/Writing,19/04/24
E0111,Retail Banking,Manager,M20,Module 20,Article,21/03/24,25/03/24,Completed,,5,44,Auditory,31/03/24
E0104,HR,Manager,M18,Module 18,Quiz,02/02/24,08/02/24,Completed,92,4,91,Reading/Writing,11/02/24
E0104,Corporate Banking,Associate,M10,Module 10,Video,14/03/24,20/03/24,Completed,,5,82,Kinesthetic,28/03/24
E0114,IT,Senior Associate,M17,Module 17,Webinar,01/05/24,11/05/24,Completed,,1,41,Kinesthetic,03/05/24
E0193,Compliance,Manager,M8,Module 8,Video,20/02/24,20/02/24,Completed,,1,36,Auditory,22/02/24
E0117,IT,VP,M7,Module 7,Video,27/06/24,,Dropped,,,26,Reading/Writing,01/07/24
E0168,HR,Associate,M25,Module 25,Article,28/01/24,,Incomplete,,,12,Auditory,29/01/24
E0143,Compliance,Associate,M15,Module 15,Video,04/02/24,,Dropped,,,49,Auditory,17/02/24
E0141,IT,Senior Associate,M24,Module 24,Article,01/05/24,,Dropped,,,49,Reading/Writing,09/05/24
E0197,Corporate Banking,Senior Manager,M21,Module 21,Video,02/03/24,,Dropped,,,5,Kinesthetic,09/03/24
E0070,Risk,Manager,M18,Module 18,Quiz,21/01/24,23/01/24,Completed,64,4,93,Reading/Writing,27/01/24
E0017,IT,Senior Manager,M11,Module 11,Video,18/05/24,,Dropped,,,4,Reading/Writing,31/05/24
E0100,Corporate Banking,Associate,M25,Module 25,Article,27/05/24,,Dropped,,,1,Kinesthetic,05/06/24
E0193,IT,Senior Manager,M18,Module 18,Quiz,19/05/24,26/05/24,Completed,64,3,60,Auditory,19/05/24
E0100,Risk,Senior Manager,M24,Module 24,Article,12/02/24,,Incomplete,,,40,Visual,24/02/24
E0152,Corporate Banking,Associate,M3,Module 3,Article,13/06/24,,Incomplete,,,56,Auditory,18/06/24
E0013,Risk,Senior Manager,M11,Module 11,Video,24/02/24,,Dropped,,,22,Auditory,03/03/24
E0193,IT,Manager,M3,Module 3,Article,30/04/24,08/05/24,Completed,,1,49,Reading/Writing,02/05/24
E0200,HR,Associate,M25,Module 25,Article,08/01/24,11/01/24,Completed,,1,84,Reading/Writing,15/01/24
E0033,IT,Associate,M19,Module 19,Webinar,25/02/24,,Dropped,,,50,Kinesthetic,01/03/24
E0156,Corporate Banking,Associate,M25,Module 25,Article,11/02/24,,Incomplete,,,38,Visual,20/02/24
E0148,HR,Senior Manager,M13,Module 13,Quiz,20/02/24,29/02/24,Completed,94,2,18,Kinesthetic,23/02/24
E0145,Retail Banking,Manager,M18,Module 18,Quiz,19/04/24,,Incomplete,,,33,Kinesthetic,19/04/24
E0108,IT,Associate,M14,Module 14,Quiz,02/04/24,,Incomplete,,,28,Reading/Writing,10/04/24
E0158,Corporate Banking,Senior Manager,M15,Module 15,Video,21/04/24,,Dropped,,,55,Reading/Writing,23/04/24
E0072,IT,Senior Associate,M25,Module 25,Article,28/04/24,,Dropped,,,2,Auditory,08/05/24
E0047,IT,Senior Associate,M12,Module 12,Video,07/03/24,,Dropped,,,57,Kinesthetic,07/03/24
E0133,Compliance,Associate,M8,Module 8,Video,14/04/24,,Incomplete,,,45,Auditory,29/04/24
E0115,Retail Banking,Associate,M10,Module 10,Video,26/02/24,,Incomplete,,,20,Kinesthetic,12/03/24
E0142,Corporate Banking,Manager,M14,Module 14,Quiz,20/05/24,,Dropped,,,45,Auditory,28/05/24
E0079,Risk,Senior Associate,M4,Module 4,Quiz,19/02/24,,Incomplete,,,48,Reading/Writing,25/02/24
E0056,HR,Senior Manager,M9,Module 9,Webinar,30/05/24,,Incomplete,,,54,Reading/Writing,08/06/24
E0059,Risk,Senior Associate,M10,Module 10,Video,04/01/24,08/01/24,Completed,,1,11,Kinesthetic,08/01/24
E0164,IT,Associate,M1,Module 1,Video,26/05/24,,Dropped,,,31,Auditory,05/06/24
E0048,Retail Banking,Manager,M16,Module 16,Quiz,30/01/24,05/02/24,Completed,81,1,78,Visual,03/02/24
E0039,Corporate Banking,Manager,M3,Module 3,Article,04/03/24,12/03/24,Completed,,4,82,Reading/Writing,16/03/24
E0116,IT,Manager,M19,Module 19,Webinar,19/04/24,,Incomplete,,,40,Visual,25/04/24
E0161,Compliance,Manager,M22,Module 22,Quiz,21/01/24,24/01/24,Completed,61,5,14,Reading/Writing,21/01/24
E0105,IT,VP,M16,Module 16,Quiz,15/03/24,18/03/24,Completed,68,3,94,Auditory,17/03/24
E0176,Compliance,Manager,M21,Module 21,Video,30/05/24,05/06/24,Completed,,1,74,Reading/Writing,03/06/24
E0069,Compliance,Associate,M2,Module 2,Video,12/02/24,,Dropped,,,29,Visual,26/02/24
E0177,Risk,Senior Manager,M9,Module 9,Webinar,08/05/24,,Dropped,,,6,Visual,21/05/24
E0189,Risk,VP,M9,Module 9,Webinar,07/01/24,10/01/24,Completed,,5,80,Visual,15/01/24
E0148,Retail Banking,Senior Associate,M16,Module 16,Quiz,12/05/24,,Dropped,,,12,Auditory,27/05/24
E0024,IT,Manager,M14,Module 14,Quiz,26/03/24,,Incomplete,,,55,Reading/Writing,05/04/24
E0106,HR,Senior Manager,M10,Module 10,Video,18/06/24,,Incomplete,,,30,Visual,28/06/24
E0065,Risk,Associate,M25,Module 25,Article,13/04/24,23/04/24,Completed,,5,64,Auditory,14/04/24
E0049,Corporate Banking,Manager,M20,Module 20,Article,07/05/24,,Incomplete,,,14,Kinesthetic,11/05/24
E0074,IT,Senior Manager,M4,Module 4,Quiz,08/01/24,10/01/24,Completed,69,5,6,Auditory,10/01/24
E0058,Retail Banking,Senior Manager,M4,Module 4,Quiz,14/06/24,21/06/24,Completed,95,3,70,Kinesthetic,27/06/24
E0124,IT,Senior Associate,M15,Module 15,Video,21/05/24,27/05/24,Completed,,2,81,Reading/Writing,23/05/24
E0071,IT,Manager,M17,Module 17,Webinar,09/03/24,13/03/24,Completed,,3,112,Auditory,13/03/24
E0115,Corporate Banking,Senior Manager,M12,Module 12,Video,26/03/24,,Dropped,,,60,Kinesthetic,01/04/24
E0179,Compliance,VP,M13,Module 13,Quiz,29/02/24,,Incomplete,,,21,Auditory,12/03/24
E0099,HR,Senior Associate,M16,Module 16,Quiz,10/01/24,18/01/24,Completed,87,3,116,Visual,24/01/24
E0026,Corporate Banking,Senior Manager,M1,Module 1,Video,06/02/24,,Incomplete,,,5,Auditory,14/02/24
E0087,Corporate Banking,Senior Manager,M21,Module 21,Video,21/01/24,,Dropped,,,21,Auditory,22/01/24
E0159,Retail Banking,Senior Associate,M21,Module 21,Video,24/06/24,,Incomplete,,,48,Visual,07/07/24
E0026,HR,Associate,M15,Module 15,Video,12/02/24,,Incomplete,,,3,Kinesthetic,13/02/24
E0076,Risk,Manager,M14,Module 14,Quiz,07/02/24,15/02/24,Completed,76,5,92,Reading/Writing,12/02/24
E0045,Retail Banking,VP,M13,Module 13,Quiz,07/06/24,14/06/24,Completed,87,2,34,Auditory,15/06/24
E0118,Risk,Associate,M15,Module 15,Video,14/03/24,15/03/24,Completed,,4,49,Kinesthetic,27/03/24
E0177,Risk,Senior Manager,M10,Module 10,Video,20/02/24,,Dropped,,,7,Reading/Writing,03/03/24
E0147,Risk,VP,M10,Module 10,Video,28/06/24,,Incomplete,,,54,Auditory,06/07/24
E0003,Corporate Banking,Associate,M20,Module 20,Article,07/05/24,,Incomplete,,,39,Kinesthetic,14/05/24
E0163,Compliance,VP,M9,Module 9,Webinar,22/06/24,02/07/24,Completed,,1,120,Visual,01/07/24
E0113,Retail Banking,VP,M12,Module 12,Video,03/02/24,07/02/24,Completed,,3,100,Auditory,08/02/24
E0052,Compliance,VP,M12,Module 12,Video,15/05/24,,Incomplete,,,17,Auditory,24/05/24
E0192,Risk,Associate,M15,Module 15,Video,20/01/24,23/01/24,Completed,,4,113,Kinesthetic,22/01/24
E0102,Retail Banking,Manager,M18,Module 18,Quiz,01/02/24,,Dropped,,,44,Kinesthetic,13/02/24
E0164,Risk,Associate,M22,Module 22,Quiz,29/02/24,,Incomplete,,,40,Kinesthetic,07/03/24
E0166,Retail Banking,Senior Manager,M23,Module 23,Webinar,18/03/24,,Incomplete,,,9,Visual,19/03/24
E0078,IT,Associate,M4,Module 4,Quiz,01/03/24,07/03/24,Completed,79,3,90,Auditory,05/03/24
E0107,HR,Associate,M16,Module 16,Quiz,06/06/24,,Dropped,,,3,Kinesthetic,12/06/24
E0114,IT,Senior Associate,M12,Module 12,Video,26/01/24,,Dropped,,,4,Auditory,03/02/24
E0049,Retail Banking,Senior Manager,M3,Module 3,Article,18/06/24,28/06/24,Completed,,5,7,Visual,28/06/24
E0063,Compliance,VP,M7,Module 7,Video,18/01/24,27/01/24,Completed,,2,109,Reading/Writing,28/01/24
E0199,Compliance,VP,M1,Module 1,Video,11/03/24,13/03/24,Completed,,5,37,Reading/Writing,14/03/24
E0170,Retail Banking,Senior Associate,M1,Module 1,Video,01/04/24,10/04/24,Completed,,3,7,Reading/Writing,09/04/24
E0014,Compliance,Senior Manager,M17,Module 17,Webinar,30/01/24,06/02/24,Completed,,4,104,Kinesthetic,02/02/24
E0116,Corporate Banking,Senior Associate,M20,Module 20,Article,12/01/24,,Dropped,,,42,Visual,13/01/24
E0123,IT,Senior Manager,M22,Module 22,Quiz,28/01/24,,Dropped,,,5,Visual,07/02/24
E0156,Compliance,Associate,M5,Module 5,Quiz,11/03/24,,Dropped,,,39,Kinesthetic,25/03/24
E0130,Corporate Banking,Senior Manager,M4,Module 4,Quiz,28/06/24,08/07/24,Completed,91,5,97,Reading/Writing,11/07/24
E0116,Compliance,Senior Manager,M11,Module 11,Video,26/04/24,,Dropped,,,47,Visual,06/05/24
E0110,Risk,Manager,M12,Module 12,Video,09/02/24,,Incomplete,,,6,Visual,11/02/24
E0111,Retail Banking,Manager,M5,Module 5,Quiz,22/05/24,31/05/24,Completed,85,5,47,Visual,04/06/24
E0091,HR,Senior Manager,M24,Module 24,Article,14/01/24,,Dropped,,,23,Visual,20/01/24
E0040,HR,Senior Manager,M8,Module 8,Video,28/01/24,,Dropped,,,8,Kinesthetic,04/02/24
E0110,Corporate Banking,VP,M20,Module 20,Article,21/06/24,30/06/24,Completed,,3,8,Reading/Writing,29/06/24
E0180,Risk,Manager,M12,Module 12,Video,02/01/24,04/01/24,Completed,,5,89,Auditory,04/01/24
E0037,HR,Associate,M3,Module 3,Article,15/05/24,21/05/24,Completed,,4,63,Kinesthetic,20/05/24
E0095,Risk,Manager,M25,Module 25,Article,25/05/24,25/05/24,Completed,,2,25,Visual,27/05/24
E0070,IT,Senior Manager,M16,Module 16,Quiz,04/06/24,,Dropped,,,18,Reading/Writing,07/06/24
E0089,IT,Associate,M10,Module 10,Video,22/06/24,,Dropped,,,3,Reading/Writing,04/07/24
E0154,Retail Banking,Associate,M7,Module 7,Video,18/03/24,20/03/24,Completed,,3,42,Kinesthetic,21/03/24
E0002,IT,Senior Manager,M6,Module 6,Quiz,03/02/24,,Incomplete,,,33,Kinesthetic,05/02/24
E0102,HR,Associate,M14,Module 14,Quiz,05/01/24,,Incomplete,,,56,Kinesthetic,18/01/24
E0147,IT,Senior Manager,M10,Module 10,Video,30/01/24,,Incomplete,,,21,Reading/Writing,13/02/24
E0177,Risk,Associate,M14,Module 14,Quiz,28/01/24,03/02/24,Completed,87,4,72,Visual,09/02/24
E0080,HR,Manager,M8,Module 8,Video,26/03/24,27/03/24,Completed,,5,86,Visual,01/04/24
E0199,Risk,Manager,M24,Module 24,Article,14/06/24,17/06/24,Completed,,1,23,Kinesthetic,20/06/24
E0045,Corporate Banking,Senior Associate,M25,Module 25,Article,16/06/24,18/06/24,Completed,,4,64,Auditory,26/06/24
E0161,Risk,Senior Associate,M15,Module 15,Video,18/01/24,,Dropped,,,41,Kinesthetic,26/01/24
E0152,Retail Banking,Manager,M17,Module 17,Webinar,19/01/24,,Dropped,,,29,Visual,20/01/24
E0095,Risk,Associate,M21,Module 21,Video,24/01/24,,Dropped,,,38,Visual,07/02/24
E0147,HR,Senior Associate,M11,Module 11,Video,03/06/24,,Incomplete,,,4,Auditory,06/06/24
E0088,HR,Associate,M17,Module 17,Webinar,14/06/24,14/06/24,Completed,,2,95,Auditory,28/06/24
E0135,Corporate Banking,VP,M6,Module 6,Quiz,03/04/24,,Dropped,,,25,Auditory,13/04/24
E0174,Corporate Banking,Associate,M21,Module 21,Video,14/06/24,,Incomplete,,,22,Visual,26/06/24
E0073,Risk,VP,M5,Module 5,Quiz,26/03/24,04/04/24,Completed,92,2,49,Kinesthetic,07/04/24
E0034,Corporate Banking,Associate,M10,Module 10,Video,23/05/24,,Dropped,,,53,Reading/Writing,25/05/24
E0166,HR,Senior Manager,M17,Module 17,Webinar,02/04/24,07/04/24,Completed,,3,28,Reading/Writing,12/04/24
E0197,IT,Senior Associate,M8,Module 8,Video,05/02/24,06/02/24,Completed,,3,113,Visual,06/02/24
E0170,Risk,VP,M5,Module 5,Quiz,01/06/24,,Incomplete,,,11,Reading/Writing,06/06/24
E0185,IT,Associate,M14,Module 14,Quiz,03/04/24,10/04/24,Completed,89,3,101,Auditory,10/04/24
E0137,Compliance,Manager,M16,Module 16,Quiz,19/02/24,,Dropped,,,30,Kinesthetic,02/03/24
E0129,Corporate Banking,Senior Manager,M6,Module 6,Quiz,21/02/24,25/02/24,Completed,53,4,116,Kinesthetic,24/02/24
E0183,Corporate Banking,Associate,M10,Module 10,Video,22/01/24,26/01/24,Completed,,4,120,Reading/Writing,04/02/24
E0024,Compliance,Senior Manager,M12,Module 12,Video,07/01/24,,Incomplete,,,26,Kinesthetic,14/01/24
E0099,Retail Banking,Manager,M8,Module 8,Video,08/01/24,,Incomplete,,,54,Kinesthetic,12/01/24
E0036,Retail Banking,Manager,M16,Module 16,Quiz,27/06/24,04/07/24,Completed,78,5,5,Visual,27/06/24
E0066,Compliance,Senior Associate,M18,Module 18,Quiz,04/06/24,,Incomplete,,,50,Kinesthetic,11/06/24
E0078,Retail Banking,Associate,M8,Module 8,Video,17/04/24,,Incomplete,,,8,Auditory,17/04/24
E0162,Corporate Banking,VP,M8,Module 8,Video,06/02/24,,Dropped,,,1,Kinesthetic,13/02/24
E0147,IT,Senior Associate,M22,Module 22,Quiz,20/06/24,28/06/24,Completed,73,1,72,Visual,02/07/24
E0121,Retail Banking,Senior Manager,M12,Module 12,Video,05/03/24,10/03/24,Completed,,1,49,Reading/Writing,08/03/24
E0198,Corporate Banking,Manager,M5,Module 5,Quiz,12/01/24,,Dropped,,,53,Reading/Writing,26/01/24
E0179,IT,Senior Associate,M5,Module 5,Quiz,17/01/24,,Incomplete,,,19,Reading/Writing,18/01/24
E0052,Retail Banking,Manager,M10,Module 10,Video,11/05/24,,Dropped,,,17,Visual,17/05/24
E0074,Risk,Associate,M21,Module 21,Video,25/03/24,,Incomplete,,,52,Kinesthetic,07/04/24
E0103,HR,Senior Manager,M13,Module 13,Quiz,27/03/24,03/04/24,Completed,94,4,52,Kinesthetic,29/03/24
E0187,IT,Associate,M14,Module 14,Quiz,03/06/24,11/06/24,Completed,68,3,18,Visual,13/06/24
E0170,Risk,Manager,M15,Module 15,Video,03/06/24,,Incomplete,,,45,Auditory,14/06/24
E0115,Retail Banking,Manager,M20,Module 20,Article,21/04/24,,Incomplete,,,5,Auditory,02/05/24
E0132,HR,Senior Associate,M1,Module 1,Video,06/02/24,,Incomplete,,,9,Visual,13/02/24
E0200,HR,Manager,M12,Module 12,Video,08/04/24,17/04/24,Completed,,2,91,Auditory,19/04/24
E0096,IT,Associate,M19,Module 19,Webinar,05/02/24,,Dropped,,,21,Kinesthetic,12/02/24
E0030,Retail Banking,Senior Associate,M16,Module 16,Quiz,12/05/24,,Incomplete,,,17,Kinesthetic,26/05/24
E0055,Corporate Banking,Manager,M23,Module 23,Webinar,05/05/24,06/05/24,Completed,,2,114,Visual,19/05/24
E0045,HR,Senior Manager,M3,Module 3,Article,23/06/24,,Dropped,,,46,Visual,02/07/24
E0077,Compliance,Senior Associate,M12,Module 12,Video,10/05/24,11/05/24,Completed,,2,106,Reading/Writing,17/05/24
E0127,Retail Banking,Manager,M18,Module 18,Quiz,26/05/24,,Dropped,,,52,Reading/Writing,28/05/24
E0017,Risk,Senior Manager,M23,Module 23,Webinar,02/05/24,,Dropped,,,53,Visual,06/05/24
E0082,HR,Associate,M15,Module 15,Video,29/04/24,,Incomplete,,,57,Reading/Writing,03/05/24
E0111,Corporate Banking,Associate,M4,Module 4,Quiz,12/05/24,16/05/24,Completed,60,2,46,Reading/Writing,23/05/24
E0133,Risk,Associate,M9,Module 9,Webinar,20/02/24,,Incomplete,,,41,Kinesthetic,22/02/24
E0129,HR,Senior Associate,M19,Module 19,Webinar,28/05/24,30/05/24,Completed,,5,97,Kinesthetic,29/05/24
E0008,Retail Banking,Associate,M21,Module 21,Video,27/05/24,,Incomplete,,,50,Auditory,27/05/24
E0128,HR,VP,M10,Module 10,Video,13/06/24,,Dropped,,,16,Auditory,22/06/24
E0117,Retail Banking,Associate,M6,Module 6,Quiz,22/04/24,,Dropped,,,30,Reading/Writing,02/05/24
E0156,Compliance,Manager,M23,Module 23,Webinar,22/03/24,,Dropped,,,9,Kinesthetic,25/03/24
E0082,Compliance,Senior Manager,M4,Module 4,Quiz,09/03/24,,Incomplete,,,10,Visual,10/03/24
E0075,IT,VP,M14,Module 14,Quiz,04/03/24,09/03/24,Completed,86,3,29,Reading/Writing,19/03/24
E0132,IT,Senior Manager,M10,Module 10,Video,07/05/24,08/05/24,Completed,,4,69,Auditory,14/05/24
E0056,Corporate Banking,Manager,M2,Module 2,Video,13/01/24,,Dropped,,,39,Auditory,22/01/24
E0138,Retail Banking,Associate,M14,Module 14,Quiz,04/02/24,,Dropped,,,49,Auditory,15/02/24
E0012,IT,Associate,M19,Module 19,Webinar,23/05/24,28/05/24,Completed,,5,41,Visual,04/06/24
E0130,IT,VP,M9,Module 9,Webinar,08/06/24,10/06/24,Completed,,1,55,Kinesthetic,18/06/24
E0143,Risk,Senior Associate,M7,Module 7,Video,03/06/24,,Incomplete,,,3,Visual,07/06/24
E0183,Risk,Senior Manager,M17,Module 17,Webinar,26/04/24,05/05/24,Completed,,5,22,Kinesthetic,06/05/24
E0042,IT,VP,M24,Module 24,Article,17/03/24,,Dropped,,,46,Kinesthetic,01/04/24
E0005,Risk,Manager,M22,Module 22,Quiz,29/01/24,,Dropped,,,51,Visual,13/02/24
E0068,HR,VP,M19,Module 19,Webinar,28/02/24,08/03/24,Completed,,4,26,Auditory,03/03/24
E0175,Compliance,Associate,M19,Module 19,Webinar,28/06/24,01/07/24,Completed,,1,61,Kinesthetic,11/07/24
E0039,IT,Senior Associate,M14,Module 14,Quiz,08/05/24,,Incomplete,,,46,Reading/Writing,14/05/24
E0144,Risk,Senior Manager,M17,Module 17,Webinar,06/04/24,,Incomplete,,,30,Kinesthetic,17/04/24
E0174,HR,Manager,M20,Module 20,Article,03/05/24,06/05/24,Completed,,3,76,Kinesthetic,10/05/24
E0077,Risk,Senior Associate,M23,Module 23,Webinar,29/06/24,,Dropped,,,31,Kinesthetic,07/07/24
E0074,Retail Banking,VP,M22,Module 22,Quiz,19/05/24,,Dropped,,,53,Kinesthetic,23/05/24
E0075,Retail Banking,Manager,M23,Module 23,Webinar,21/01/24,,Dropped,,,42,Kinesthetic,05/02/24
E0055,Compliance,VP,M9,Module 9,Webinar,23/05/24,,Incomplete,,,7,Reading/Writing,30/05/24
E0013,HR,VP,M8,Module 8,Video,12/06/24,12/06/24,Completed,,1,57,Kinesthetic,27/06/24
E0026,HR,Senior Associate,M1,Module 1,Video,20/05/24,26/05/24,Completed,,4,66,Reading/Writing,29/05/24
E0083,Risk,Associate,M25,Module 25,Article,23/01/24,31/01/24,Completed,,1,27,Auditory,28/01/24
E0010,IT,Senior Manager,M6,Module 6,Quiz,15/03/24,15/03/24,Completed,69,5,82,Visual,25/03/24
E0073,IT,VP,M17,Module 17,Webinar,06/05/24,14/05/24,Completed,,4,39,Reading/Writing,09/05/24
E0085,Compliance,Senior Manager,M21,Module 21,Video,06/03/24,06/03/24,Completed,,3,106,Kinesthetic,12/03/24
E0045,Corporate Banking,Senior Manager,M14,Module 14,Quiz,11/05/24,,Incomplete,,,26,Visual,16/05/24
E0036,IT,Manager,M8,Module 8,Video,02/01/24,,Dropped,,,16,Auditory,10/01/24
E0085,Risk,VP,M24,Module 24,Article,26/05/24,30/05/24,Completed,,3,93,Reading/Writing,27/05/24
E0171,Retail Banking,Senior Manager,M10,Module 10,Video,10/02/24,,Dropped,,,45,Visual,19/02/24
E0095,Corporate Banking,Senior Associate,M8,Module 8,Video,04/02/24,,Incomplete,,,30,Kinesthetic,17/02/24
E0180,Corporate Banking,Senior Manager,M25,Module 25,Article,17/05/24,20/05/24,Completed,,5,116,Visual,31/05/24
E0136,HR,Manager,M3,Module 3,Article,24/05/24,24/05/24,Completed,,5,120,Reading/Writing,28/05/24
E0043,Risk,VP,M15,Module 15,Video,30/01/24,08/02/24,Completed,,4,16,Auditory,31/01/24
E0117,Compliance,VP,M14,Module 14,Quiz,26/04/24,04/05/24,Completed,79,3,97,Visual,08/05/24
E0066,Retail Banking,Senior Associate,M19,Module 19,Webinar,19/01/24,25/01/24,Completed,,3,94,Visual,20/01/24
E0018,IT,Associate,M10,Module 10,Video,14/04/24,16/04/24,Completed,,4,52,Auditory,28/04/24
E0097,IT,Associate,M22,Module 22,Quiz,18/06/24,28/06/24,Completed,72,1,27,Auditory,22/06/24
E0187,Compliance,Associate,M25,Module 25,Article,06/01/24,,Dropped,,,44,Auditory,18/01/24
E0059,Compliance,Senior Manager,M12,Module 12,Video,09/02/24,,Incomplete,,,60,Visual,10/02/24
E0170,IT,VP,M25,Module 25,Article,05/01/24,08/01/24,Completed,,1,17,Visual,19/01/24
E0154,HR,Associate,M8,Module 8,Video,12/01/24,,Dropped,,,15,Reading/Writing,13/01/24
E0036,Corporate Banking,Manager,M8,Module 8,Video,27/05/24,,Dropped,,,16,Kinesthetic,31/05/24
E0170,Corporate Banking,Senior Associate,M14,Module 14,Quiz,17/03/24,,Incomplete,,,36,Reading/Writing,30/03/24
E0143,IT,Associate,M12,Module 12,Video,13/06/24,,Dropped,,,45,Auditory,26/06/24
E0039,Risk,Senior Manager,M6,Module 6,Quiz,17/05/24,,Incomplete,,,55,Reading/Writing,26/05/24
E0182,Compliance,Senior Manager,M2,Module 2,Video,23/05/24,,Dropped,,,36,Reading/Writing,04/06/24
E0063,Risk,Senior Associate,M11,Module 11,Video,14/06/24,21/06/24,Completed,,3,16,Reading/Writing,15/06/24
E0069,IT,VP,M20,Module 20,Article,11/01/24,14/01/24,Completed,,5,97,Reading/Writing,26/01/24
E0054,Risk,Manager,M1,Module 1,Video,24/02/24,25/02/24,Completed,,4,36,Reading/Writing,07/03/24
